Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
The Three Musketeers,"$132,274,484","$20,374,484",15.40%,"$111,900,000",84.60%
2 Guns,"$131,940,411","$75,612,460",57.30%,"$56,327,951",42.70%
Halloween Kills,"$131,647,155","$92,002,155",69.90%,"$39,645,000",30.10%
The House with a Clock in Its Walls,"$131,457,147","$68,549,695",52.10%,"$62,907,452",47.90%
A Bad Moms Christmas,"$130,560,428","$72,110,659",55.20%,"$58,449,769",44.80%
Cloud Atlas,"$130,482,868","$27,108,272",20.80%,"$103,374,596",79.20%
Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%
Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
The Woman in Black,"$128,955,898","$54,333,290",42.10%,"$74,622,608",57.90%
Pan,"$128,388,320","$35,088,320",27.30%,"$93,300,000",72.70%
Sister,"$128,317,206",-,-,"$128,317,206",100%
Blended,"$127,994,610","$46,294,610",36.20%,"$81,700,000",63.80%
The Adjustment Bureau,"$127,869,379","$62,495,645",48.90%,"$65,373,734",51.10%
Ad Astra,"$127,461,872","$50,188,370",39.40%,"$77,273,502",60.60%
Midway,"$127,420,861","$56,846,802",44.60%,"$70,574,059",55.40%
Predators,"$127,233,108","$52,000,688",40.90%,"$75,232,420",59.10%
Chronicle,"$126,636,097","$64,575,175",51%,"$62,060,922",49%
Walking with Dinosaurs 3D,"$126,546,518","$36,076,121",28.50%,"$90,470,397",71.50%
Sex Tape,"$126,069,509","$38,543,473",30.60%,"$87,526,036",69.40%
This Is the End,"$126,041,322","$101,470,202",80.50%,"$24,571,120",19.50%
The King's Man,"$125,897,478","$37,176,373",29.50%,"$88,721,105",70.50%
The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%
Detective Chinatown,"$125,842,935","$474,252",0.40%,"$125,368,683",99.60%
Wolf Totem,"$125,837,070","$210,591",0.20%,"$125,626,479",99.80%
Mechanic: Resurrection,"$125,729,635","$21,218,403",16.90%,"$104,511,232",83.10%
Ender's Game,"$125,544,024","$61,737,191",49.20%,"$63,806,833",50.80%
Happy Death Day,"$125,479,266","$55,683,845",44.40%,"$69,795,421",55.60%
Captain Underpants: The First Epic Movie,"$125,427,681","$73,921,000",58.90%,"$51,506,681",41.10%
Ride Along 2,"$124,605,297","$91,221,830",73.20%,"$33,383,467",26.80%
The Theory of Everything,"$123,726,688","$35,893,537",29%,"$87,833,151",71%
Last Christmas,"$123,446,172","$35,150,750",28.50%,"$88,295,422",71.50%
The Curse of La Llorona,"$123,133,739","$54,733,739",44.50%,"$68,400,000",55.50%
The Lego Ninjago Movie,"$123,081,555","$59,281,555",48.20%,"$63,800,000",51.80%
The Pirates! Band of Misfits,"$123,054,041","$31,051,126",25.20%,"$92,002,915",74.80%
Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.90%
Zombieland: Double Tap,"$122,810,399","$73,123,082",59.50%,"$49,687,317",40.50%
Dragon Blade,"$122,593,849","$74,068",<0.1%,"$122,519,781",99.90%
Prisoners,"$122,126,687","$61,002,302",50%,"$61,124,385",50%
Secret Superstar,"$122,026,260",-,-,"$122,026,260",100%
Deepwater Horizon,"$121,790,373","$61,433,527",50.40%,"$60,356,846",49.60%
Soul,"$120,957,731",-,-,"$120,957,731",100%
The Nut Job,"$120,885,527","$64,251,541",53.20%,"$56,633,986",46.80%
Dora and the Lost City of Gold,"$120,597,108","$60,477,943",50.10%,"$60,119,165",49.90%
Instant Family,"$120,556,201","$67,363,237",55.90%,"$53,192,964",44.10%
We Bought a Zoo,"$120,081,841","$75,624,550",63%,"$44,457,291",37%
The Commuter,"$119,942,387","$36,343,858",30.30%,"$83,598,529",69.70%
Extreme Job,"$119,932,733","$1,565,885",1.30%,"$118,366,848",98.70%
The Addams Family 2,"$119,815,153","$56,489,153",47.10%,"$63,326,000",52.90%
Parental Guidance,"$119,772,232","$77,267,296",64.50%,"$42,504,936",35.50%
Wonder Park,"$119,559,110","$45,216,793",37.80%,"$74,342,317",62.20%
Allied,"$119,520,023","$40,098,064",33.50%,"$79,421,959",66.50%
I Belonged to You,"$119,107,580","$744,541",0.60%,"$118,363,039",99.40%
The Shallows,"$119,100,758","$55,124,043",46.30%,"$63,976,715",53.70%
Forever Young,"$119,055,731",-,-,"$119,055,731",100%
Hankyu Railways - A 15-minute Miracle,"$118,799,256",-,-,"$118,799,256",100%
The Purge: Election Year,"$118,587,880","$79,213,375",66.80%,"$39,374,505",33.20%
Jurassic Park 2013 Re-release,"$118,192,315","$45,385,935",38.40%,"$72,806,380",61.60%
A Cool Fish,"$118,153,135","$551,876",0.50%,"$117,601,259",99.50%
Why Him?,"$118,102,725","$60,323,786",51.10%,"$57,778,939",48.90%
P Storm,"$117,991,727","$326,711",0.30%,"$117,665,016",99.70%
Saving Mr. Banks,"$117,867,984","$83,301,580",70.70%,"$34,566,404",29.30%
Pompeii,"$117,831,631","$23,219,748",19.70%,"$94,611,883",80.30%
Magic Mike XXL,"$117,813,057","$66,013,057",56%,"$51,800,000",44%
Game Night,"$117,679,066","$69,179,066",58.80%,"$48,500,000",41.20%
Water for Elephants,"$117,094,902","$58,709,717",50.10%,"$58,385,185",49.90%
Warm Bodies,"$116,980,662","$66,380,662",56.70%,"$50,600,000",43.30%
Abraham Lincoln: Vampire Hunter,"$116,471,580","$37,519,139",32.20%,"$78,952,441",67.80%
Personal Tailor,"$116,126,458","$375,892",0.30%,"$115,750,566",99.70%
The Iron Lady,"$115,890,699","$30,017,992",25.90%,"$85,872,707",74.10%
Dragon Ball Super: Broly,"$115,757,940","$30,712,119",26.50%,"$85,045,821",73.50%
A Nightmare on Elm Street,"$115,694,863","$63,075,011",54.50%,"$52,619,852",45.50%
Detective Conan: The Fist of Blue Sapphire,"$115,570,314",-,-,"$115,570,314",100%
Pitch Perfect,"$115,350,426","$65,001,093",56.40%,"$50,349,333",43.60%
The Gentlemen,"$115,171,795","$36,471,795",31.70%,"$78,700,000",68.30%
The Monkey King 3,"$115,084,576","$187,074",0.20%,"$114,897,502",99.80%
Dear John,"$114,984,666","$80,014,842",69.60%,"$34,969,824",30.40%
So Young,"$114,926,694","$11,186",<0.1%,"$114,915,508",100%
Book of Love,"$114,679,097",-,-,"$114,679,097",100%
Office Christmas Party,"$114,501,299","$54,767,494",47.80%,"$59,733,805",52.20%
Hope Springs,"$114,281,051","$63,536,011",55.60%,"$50,745,040",44.40%
Seventh Son,"$114,178,613","$17,223,265",15.10%,"$96,955,348",84.90%
My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.90%
The Dark Tower,"$113,231,078","$50,701,325",44.80%,"$62,529,753",55.20%
Pet Sematary,"$113,118,226","$54,724,696",48.40%,"$58,393,530",51.60%
Insidious: Chapter 3,"$112,983,889","$52,218,558",46.20%,"$60,765,331",53.80%
Cats & Dogs: The Revenge of Kitty Galore,"$112,483,764","$43,585,753",38.70%,"$68,898,011",61.30%
Tooth Fairy,"$112,462,508","$60,022,256",53.40%,"$52,440,252",46.60%
Boonie Bears: Blast Into the Past,"$112,367,881",-,-,"$112,367,881",100%
How to Be Single,"$112,343,513","$46,843,513",41.70%,"$65,500,000",58.30%
The Purge: Anarchy,"$111,928,365","$71,962,800",64.30%,"$39,965,565",35.70%
"Dad, Where Are We Going?","$111,870,000",-,-,"$111,870,000",100%
Get Hard,"$111,711,453","$90,411,453",80.90%,"$21,300,000",19.10%
The Call of the Wild,"$111,202,881","$62,342,368",56.10%,"$48,860,513",43.90%
Good Boys,"$111,173,598","$83,140,306",74.80%,"$28,033,292",25.20%
Free Birds,"$110,387,072","$55,750,480",50.50%,"$54,636,592",49.50%
10 Cloverfield Lane,"$110,216,998","$72,082,998",65.40%,"$38,134,000",34.60%
Moneyball,"$110,206,216","$75,605,492",68.60%,"$34,600,724",31.40%
Buddies in India,"$110,155,128","$293,194",0.30%,"$109,861,934",99.70%
The 5th Wave,"$109,906,372","$34,916,787",31.80%,"$74,989,585",68.20%
Along With the Gods: The Two Worlds,"$109,383,972","$1,908,823",1.70%,"$107,475,149",98.30%
Sanctum,"$108,609,310","$23,209,310",21.40%,"$85,400,000",78.60%
The Boxtrolls,"$108,255,770","$50,837,305",47%,"$57,418,465",53%
Neighbors 2: Sorority Rising,"$108,007,109","$55,455,765",51.30%,"$52,551,344",48.70%
Horrible Bosses 2,"$107,645,357","$54,445,357",50.60%,"$53,200,000",49.40%
Paul Blart: Mall Cop 2,"$107,588,225","$71,038,190",66%,"$36,550,035",34%
Clifford the Big Red Dog,"$107,347,356","$48,947,356",45.60%,"$58,400,000",54.40%
Vacation,"$107,228,221","$58,884,188",54.90%,"$48,344,033",45.10%
ParaNorman,"$107,139,399","$56,003,051",52.30%,"$51,136,348",47.70%
Harmony,"$107,056,263",-,-,"$107,056,263",100%
The Man from U.N.C.L.E.,"$107,045,109","$45,445,109",42.50%,"$61,600,000",57.50%
The Breakup Guru,"$106,980,263","$208,959",0.20%,"$106,771,304",99.80%
Hereafter,"$106,956,330","$32,746,941",30.60%,"$74,209,389",69.40%
Chronicles of the Ghostly Tribe,"$106,380,000",-,-,"$106,380,000",100%
Shaun the Sheep Movie,"$106,209,378","$19,375,982",18.20%,"$86,833,396",81.80%
Life as We Know It,"$105,734,416","$53,374,681",50.50%,"$52,359,735",49.50%
First Man,"$105,697,415","$44,936,545",42.50%,"$60,760,870",57.50%
Gangster Squad,"$105,200,903","$46,000,903",43.70%,"$59,200,000",56.30%
Sisters,"$105,011,053","$87,044,645",82.90%,"$17,966,408",17.10%
The Campaign,"$104,907,746","$86,907,746",82.80%,"$18,000,000",17.20%
Let the Bullets Fly,"$104,723,314","$63,012",<0.1%,"$104,660,302",99.90%
Scary Stories to Tell in the Dark,"$104,545,505","$68,947,075",65.90%,"$35,598,430",34.10%
Book Club,"$104,438,188","$68,566,296",65.70%,"$35,871,892",34.30%
Halloween Ends,"$104,186,860","$64,079,860",61.50%,"$40,107,000",38.50%
Wrath of Man,"$103,966,489","$27,466,489",26.40%,"$76,500,000",73.60%
Immortal Demon Slayer,"$103,818,506",-,-,"$103,818,506",100%
Everything Everywhere All at Once,"$103,740,689","$70,008,593",67.50%,"$33,732,096",32.50%
Ouija,"$103,590,271","$50,856,010",49.10%,"$52,734,261",50.90%
Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598",41%,"$60,874,496",59%
Cold War 2,"$103,197,501","$560,824",0.50%,"$102,636,677",99.50%
Night School,"$103,105,878","$77,339,130",75%,"$25,766,748",25%
Transcendence,"$103,039,258","$23,022,309",22.30%,"$80,016,949",77.70%
Jigsaw,"$102,952,888","$38,052,832",37%,"$64,900,056",63%
Love & Other Drugs,"$102,820,008","$32,367,005",31.50%,"$70,453,003",68.50%
Chappie,"$102,811,889","$31,569,268",30.70%,"$71,242,621",69.30%
Star Wars: Episode I - The Phantom Menace 2012 3D Release,"$102,739,593","$43,456,382",42.30%,"$59,283,211",57.70%
Project X,"$102,731,865","$54,731,865",53.30%,"$48,000,000",46.70%
RRR,"$102,701,245","$11,113,000",10.80%,"$91,588,245",89.20%
Railroad Tigers,"$102,205,175","$218,044",0.20%,"$101,987,131",99.80%
Heaven Is for Real,"$101,888,019","$91,443,253",89.70%,"$10,444,766",10.30%
Detective Conan: Zero the Enforcer,"$101,860,359",-,-,"$101,860,359",100%
The Devil Inside,"$101,758,490","$53,261,944",52.30%,"$48,496,546",47.70%
The Roundup,"$101,154,047","$812,859",0.80%,"$100,341,188",99.20%
Joy,"$101,134,059","$56,451,232",55.80%,"$44,682,827",44.20%
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149","$66,954,149",66.50%,"$33,700,000",33.50%
Life,"$100,541,806","$30,234,022",30.10%,"$70,307,784",69.90%
Instructions Not Included,"$100,486,616","$44,467,206",44.30%,"$56,019,410",55.70%
Tammy,"$100,375,432","$84,525,432",84.20%,"$15,850,000",15.80%
PK,"$100,370,104","$10,616,104",10.60%,"$89,754,000",89.40%
Aftershock,"$100,293,273","$62,962",<0.1%,"$100,230,311",99.90%
Philomena,"$100,129,872","$37,709,979",37.70%,"$62,419,893",62.30%
The Continent,"$100,125,957",-,-,"$100,125,957",100%
Atomic Blonde,"$100,014,025","$51,687,870",51.70%,"$48,326,155",48.30%
The Book of Life,"$99,783,556","$50,151,543",50.30%,"$49,632,013",49.70%
Black Mass,"$99,775,678","$62,575,678",62.70%,"$37,200,000",37.30%
Alpha,"$99,630,675","$35,857,181",36%,"$63,773,494",64%
Insidious,"$99,557,032","$54,009,150",54.20%,"$45,547,882",45.80%
Line Walker 2: Invisible Spy,"$99,482,027","$296,751",0.30%,"$99,185,276",99.70%
The Lucky One,"$99,357,138","$60,457,138",60.80%,"$38,900,000",39.20%
Blue Jasmine,"$99,104,804","$33,405,481",33.70%,"$65,699,323",66.30%
